Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-04-05 17:59:24,false,"Clallam County Walking","2.35","283","00:40:41","80","97","0.4","115","124","17:17","13:37","108","82","0.81","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","06:19.84.2","3","0.0","00:40:26","00:40:55","44","111"
Indoor Cycling,2022-04-04 17:37:04,false,"Indoor Cycling","17.47","762","00:54:41","132","152","3.2","0","0","19.2","22.5","--","--","0.00","0.0","0.0","0","--","81","88","226","53% L / 47% R","79.9","240","206","326","0.0","0.0","4079","0","0","0","--","0:00","68.0","0:00","No","54:40.81.3","1","0.0","00:52:28","00:54:41","--","--"
Walking,2022-04-04 08:13:34,false,"Walking","1.02","122","00:18:49","89","102","0.2","119","126","18:29","16:14","7","10","0.73","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","00:01.02.4","3","0.0","00:18:23","00:18:49","205","205"
Indoor Cycling,2022-04-03 18:18:56,false,"Indoor Cycling","23.31","727","01:06:01","122","144","2.4","0","0","21.2","23.8","--","--","0.00","0.0","0.0","0","--","84","93","170","55% L / 45% R","54.9","175","157","275","0.0","0.0","5490","0","0","0","--","0:00","66.2","0:00","No","01:06:00.60.4","1","0.0","01:04:45","01:06:01","--","--"
Running,2022-04-02 12:10:57,false,"Sequim Running","7.27","977","01:06:27","148","165","3.4","175","180","9:08","8:04","256","243","0.99","6.2","6.3","289","49.4% L / 50.6% R","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","00:01.20","9","0.0","01:06:25","01:06:58","-1","144"
Running,2022-04-01 05:31:33,false,"Sequim Running","3.00","408","00:27:17","142","154","2.8","175","182","9:05","8:00","82","69","1.01","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","57.2","0:00","No","04:45.57.9","4","0.0","00:27:14","00:27:25","117","201"
Indoor Cycling,2022-03-31 05:25:06,false,"Indoor Cycling","9.46","466","00:41:46","118","134","2.0","0","0","13.6","14.9","--","--","0.00","0.0","0.0","0","--","81","89","164","55% L / 45% R","35.5","170","159","205","0.0","0.0","3369","0","0","0","--","0:00","64.4","0:00","No","41:45.53.8","1","0.0","00:41:34","00:41:46","--","--"
Indoor Cycling,2022-03-31 05:01:58,false,"Ramp test FTP","4.41","240","00:20:27","118","159","2.1","0","0","12.9","14.4","--","--","0.00","0.0","0.0","0","--","82","90","210","55% L / 45% R","28.1","170","169","340","0.0","0.0","1631","0","0","0","--","0:00","64.4","0:00","No","20:27.25","1","0.0","00:20:13","00:20:27","--","--"
Walking,2022-03-30 11:46:21,false,"Clallam County Walking","5.01","397","01:21:00","77","102","0.4","118","247","16:11","12:37","151","148","0.84","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","57.2","0:00","No","00:08.44.4","6","0.0","01:20:45","01:22:22","142","242"
Running,2022-03-29 05:25:03,false,"Sequim Running","5.06","706","00:47:22","146","156","3.2","175","184","9:22","8:21","135","135","0.98","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","55.4","0:00","No","04:38.72.7","6","0.0","00:47:20","00:47:22","117","209"
Running,2022-03-28 17:32:55,false,"Port Townsend - 4x5min","6.17","851","00:57:11","150","171","3.4","173","184","9:16","7:12","381","390","1.00","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","03:00.00","11","0.0","00:57:10","00:57:11","-27","110"
Walking,2022-03-27 12:23:12,false,"Clallam County Walking","4.83","489","01:26:22","74","95","0.3","114","223","17:52","11:47","105","82","0.79","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","15:18.45.6","5","0.0","01:25:56","01:27:39","156","250"
Indoor Cycling,2022-03-26 14:00:08,false,"Indoor Cycling","28.05","1,385","01:43:35","135","162","3.3","0","0","16.3","21.0","--","--","0.00","0.0","0.0","0","--","85","104","209","54% L / 46% R","142.6","227","196","456","0.0","0.0","8863","0","0","0","--","0:00","68.0","0:00","No","01:43:34.69.5","1","0.0","01:43:31","01:43:35","--","--"
Running,2022-03-25 17:10:36,false,"Port Townsend Running","5.00","670","00:47:12","145","168","3.0","173","182","9:26","8:20","384","377","0.99","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","00:01.65.6","6","0.0","00:47:10","00:47:18","-16","133"
Running,2022-03-24 18:53:12,false,"Port Townsend Running","0.20","27","00:04:11.4","105","126","0.1","108","116","20:41","18:40","--","3","0.72","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","04:11.42.7","1","0.0","00:04:06","00:04:11.4","-14","-5"
Running,2022-03-24 18:39:57,false,"Port Townsend Running","1.60","206","00:12:00","165","175","2.9","182","194","7:31","6:13","7","10","1.17","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","04:37.34.6","2","0.0","00:11:59","00:12:00","-5","8"
Running,2022-03-24 18:22:17,false,"Port Townsend Running","1.51","205","00:16:14","135","162","2.1","157","198","10:45","5:40","16","10","0.94","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","60.8","0:00","No","00:22.63.8","10","0.0","00:16:08","00:16:14","-5","7"
Walking,2022-03-24 13:14:30,false,"Port Townsend Walking","1.08","141","00:19:09","99","142","0.5","115","126","17:48","16:31","98","82","0.78","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","01:18.27.1","2","0.0","00:19:04","00:19:15","32","133"
Indoor Cycling,2022-03-23 20:12:39,false,"Indoor Cycling","9.26","402","00:36:32","120","141","2.1","0","0","15.2","17.5","--","--","0.00","0.0","0.0","0","--","87","98","172","55% L / 45% R","33.8","177","157","247","0.0","0.0","3138","0","0","0","--","0:00","66.2","0:00","No","36:31.61","1","0.0","00:35:58","00:36:32","--","--"
Walking,2022-03-23 12:28:16,false,"Clallam County Walking","1.54","182","00:35:16","66","80","0.2","97","221","22:58","17:32","13","20","0.73","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","11:00.26.5","2","0.0","00:33:07","00:58:28","16","37"
Running,2022-03-22 05:21:26,false,"Sequim Running","4.00","548","00:35:52","150","159","3.3","175","184","8:58","8:19","98","98","1.02","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","60.8","0:00","No","00:01.66.1","5","0.0","00:35:52","00:36:09","114","204"
Indoor Cycling,2022-03-21 18:56:23,false,"Indoor Cycling","7.66","348","00:32:24","114","126","1.7","0","0","14.2","16.2","--","--","0.00","0.0","0.0","0","--","83","91","160","54% L / 46% R","26.0","167","152","220","0.0","0.0","2649","0","0","0","--","0:00","68.0","0:00","No","32:24.40","1","0.0","00:31:14","00:32:24","--","--"
Indoor Cycling,2022-03-20 13:09:49,false,"Indoor Cycling","22.08","1,028","01:32:24","123","145","2.8","0","0","14.3","26.0","--","--","0.00","0.0","0.0","0","--","82","102","176","55% L / 45% R","90.1","186","160","337","0.0","0.0","7550","0","0","0","--","0:00","68.0","0:00","No","00:58.36.1","16","0.0","01:29:43","01:32:24","--","--"
Walking,2022-03-19 17:43:21,false,"Sequim Walking","3.07","347","00:57:14","76","90","0.3","112","121","18:40","17:13","135","112","0.77","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","55.4","0:00","No","01:11.68.6","4","0.0","00:57:10","01:32:49","123","216"
Indoor Cycling,2022-03-19 16:23:28,false,"Indoor Cycling","22.88","667","01:04:17","118","132","2.2","0","0","21.4","24.3","--","--","0.00","0.0","0.0","0","--","81","91","151","54% L / 46% R","46.3","160","146","261","0.0","0.0","5225","0","0","0","--","0:00","68.0","0:00","No","01:04:16.63.7","1","0.0","01:04:03","01:04:17","--","--"
Indoor Cycling,2022-03-18 05:09:30,false,"Indoor Cycling","18.57","945","01:20:09","121","143","2.5","0","0","13.9","16.6","--","--","0.00","0.0","0.0","0","--","82","96","178","54% L / 46% R","80.7","184","170","262","0.0","0.0","6549","0","0","0","--","0:00","64.4","0:00","No","01:20:09.38.7","1","0.0","01:19:47","01:20:09","--","--"
Walking,2022-03-17 08:16:41,false,"Walking","1.07","111","00:19:21","90","100","0.2","114","122","18:09","16:37","7","--","0.78","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","75.2","0:00","No","01:17.48.9","2","0.0","00:18:49","00:19:21","140","140"
Indoor Cycling,2022-03-17 05:02:30,false,"Indoor Cycling","18.75","814","01:18:33","0","0","2.2","0","0","14.3","27.7","--","--","0.00","0.0","0.0","0","--","82","119","163","54% L / 46% R","69.0","156","146","568","0.0","0.0","6285","0","0","0","--","0:00","64.4","0:00","No","01:18:33.18.7","1","0.0","01:17:11","01:18:33","--","--"
Walking,2022-03-16 14:34:30,false,"Sequim Walking","4.01","491","01:09:12","92","123","0.6","115","127","17:16","15:27","203","197","0.81","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","06:51.31.6","5","0.0","01:09:02","01:09:20","85","239"
Running,2022-03-15 16:48:12,false,"Port Townsend Running","0.44","75","00:06:00.3","135","149","1.2","133","202","13:42","6:00","75","69","0.87","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","00:12.01","12","0.0","00:05:45.9","00:06:00.3","-20","-1"
Running,2022-03-15 15:58:38,false,"Port Townsend Running","5.00","712","00:47:00","151","169","3.4","175","196","9:23","8:19","390","400","0.98","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:02.01.6","6","0.0","00:46:58","00:47:00","-30","132"
Casual Walking,2022-03-15 11:19:24,false,"Treadmill Walking","1.00","88","00:21:12","81","90","0.1","114","121","21:08","19:42","--","--","0.67","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:03.18.8","2","0.0","00:20:52","00:21:12","--","--"
Walking,2022-03-13 13:00:31,false,"Clallam County Walking","3.05","369","01:04:11","73","88","0.3","103","126","21:01","16:31","236","266","0.75","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","60.8","0:00","No","01:15.06.8","4","0.0","01:01:52","01:17:12","167","329"
Walking,2022-03-12 17:07:43,false,"Sequim Walking","2.07","247","00:39:27","103","118","0.3","110","221","19:05","13:34","75","30","0.77","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","53.6","0:00","No","01:14.40","3","0.0","00:39:13","00:39:59","134","194"
Running,2022-03-12 06:34:07,false,"Sequim Running","6.00","850","00:57:09","151","163","3.7","174","184","9:31","8:32","197","180","0.97","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","57.2","0:00","No","00:00.77.9","7","0.0","00:57:07","00:57:30","117","295"
Casual Walking,2022-03-11 15:26:05,false,"Treadmill Walking ","1.06","86","00:20:13","82","98","0.1","110","116","19:06","17:58","--","--","0.77","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","01:02.64.5","2","0.0","00:19:44","00:20:13","--","--"
Casual Walking,2022-03-11 14:22:17,false,"Treadmill Walking","1.03","118","00:20:09","94","102","0.2","110","121","19:31","17:58","--","--","0.75","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","00:35.54.7","2","0.0","00:19:31","00:20:09","--","--"
Casual Walking,2022-03-11 10:22:09,false,"Treadmill Walking","1.04","78","00:20:16","80","89","0.1","109","116","19:29","18:12","--","--","0.75","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","00:40.75","2","0.0","00:19:40","00:20:16","--","--"
Walking,2022-03-10 13:13:28,false,"Port Townsend Walking","1.12","144","00:20:31","101","121","0.4","111","230","18:18","9:16","115","69","0.79","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","02:10.73.5","2","0.0","00:20:27","00:20:31","59","161"
Running,2022-03-10 10:31:39,false,"Port Townsend Running","4.06","569","00:39:07","148","163","3.2","172","180","9:38","8:07","203","180","0.97","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:35.67.8","5","0.0","00:38:52","00:39:35","104","231"
Walking,2022-03-10 08:12:53,false,"Port Townsend Walking","1.04","138","00:18:07","85","98","0.5","117","131","17:21","11:44","102","79","0.79","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","55.4","0:00","No","00:44.52.7","2","0.0","00:18:02","00:18:18","33","138"
Walking,2022-03-09 16:47:40,false,"Sequim Walking","2.26","284","00:43:40","93","111","0.4","105","121","19:21","16:48","144","138","0.79","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","04:51.49.3","3","0.0","00:42:05","00:45:56","163","234"
Running,2022-03-09 11:29:56,false,"Sequim Running","8.53","1,141","01:21:48","147","169","3.4","174","198","9:35","7:09","256","256","0.96","6.3","6.2","295","49.0% L / 51.0% R","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","55.4","0:00","No","04:55.03.9","9","0.0","01:21:46","01:21:48","--","139"
Running,2022-03-08 17:28:25,false,"Port Townsend Running","5.00","674","00:48:16","147","166","3.3","173","180","9:39","8:29","361","348","0.97","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:01.80.7","6","0.0","00:48:14","00:48:16","-8","124"
Virtual Cycling,2022-03-08 05:18:48,false,"Zwift - Day 3 in Watopia","6.41","508","00:59:34","112","128","--","0","0","6.5","32.1","1,444","--","0.00","0.0","0.0","0","--","76","88","156","--","0.0","160","151","235","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:10.00","15","0.0","00:58:08","00:59:33","24","1,403"
Running,2022-03-07 18:32:20,false,"Sequim Running","0.37","40","00:06:00.4","107","123","0.2","125","208","16:02","6:46","102","72","0.79","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","00:11.60.4","12","0.0","00:05:44.4","00:06:00.4","90","135"
Running,2022-03-07 18:01:21,false,"Sequim Running","2.51","334","00:23:38","149","164","2.9","174","186","9:24","8:20","118","118","0.99","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:05.36","4","0.0","00:23:36","00:23:38","119","197"
